日期,版本,事件Id,事件名称,消息数量,独立用户数
2020-11-14,null,Calendar.to,每日放送.跳转,20,8
2020-11-14,null,Zone.to,空间.跳转,20,10
2020-11-14,null,TICO.tabsChange,ICO.标签页切换,20,7
2020-11-14,null,Rank.onMonthSelect,排行榜.月选择,21,5
2020-11-14,null,Home.selectGirdSubject,首页.格子布局条目选择,21,4
2020-11-14,null,TIndex.bonusDaily,小圣杯.每日签到,21,15
2020-11-14,null,TCharaAssets.onSortPress,我的持仓.排序,22,6
2020-11-14,null,Search.deleteHistory,搜索.删除历史,22,11
2020-11-14,null,Subject.doUpdateNext,条目.更新书籍下一个章节,22,3
2020-11-14,null,Notify.clear,电波提醒.清除,24,18
2020-11-14,null,TCharaAssets.doBatchSacrifice,我的持仓.批量献祭,25,2
2020-11-14,null,TDeal.doCancelAll,交易.一键取消挂单,25,8
2020-11-14,null,Browser.onMonthSelect,索引.月选择,25,5
2020-11-14,null,User.toggleList,我的.布局选择,26,10
2020-11-14,null,Login.onError,登陆.错误,27,17
2020-11-14,null,TCharaAssets.topRightMenu,我的持仓.右上角菜单,28,3
2020-11-14,null,TAdvanceBid.to,买一推荐.跳转,28,2
2020-11-14,null,User.onOrderSelect,我的.排序选择,29,10
2020-11-14,null,TSacrifice.rate,资产重组.股息查看,30,8
2020-11-14,null,TDeal.doCancel,交易.取消挂单,30,10
2020-11-14,null,Comic.searchEps,漫画.搜索章节,31,4
2020-11-14,null,TAdvanceAsk.to,卖一推荐.跳转,32,4
2020-11-14,null,Timeline.tabsChange,时间胶囊.标签页切换,34,10
2020-11-14,null,Rank.onAirdateSelect,排行榜.年选择,35,8
2020-11-14,null,Subject.doUpdateSubjectEp,条目.输入框更新章节,35,11
2020-11-14,null,User.onSelectSubjectType,我的.类型选择,36,22
2020-11-14,null,TSacrifice.changeAmountByMenu,资产重组.菜单改变竞拍数量,36,12
2020-11-14,null,Subject.searchEp,条目.搜索源,37,14
2020-11-14,null,TICODeal.doSubmit,ICO交易.注资,38,8
2020-11-14,null,Rank.prev,排行榜.上一页,39,9
2020-11-14,null,Login.onTour,登陆.游客访问,40,20
2020-11-14,null,Login.to,登陆.跳转,40,22
2020-11-14,null,Zone.toggleSection,空间.展开分组,41,8
2020-11-14,null,TSacrifice.doSacrifice,资产重组.资产重组,41,14
2020-11-14,null,TAdvanceAuction.to,拍卖推荐.跳转,42,3
2020-11-14,null,Search.selectHistory,搜索.选择历史,44,25
