日期,参数值,消息数量,占比
2020-11-30,系列前传,40,0.2%
2020-11-30,讨论版,29,0.15%
2020-11-30,猜你喜欢,19,0.1%
2020-11-30,单行本,13,0.07%
2020-11-30,吐槽,9,0.05%
2020-11-30,用户动态,5,0.03%
2020-11-30,条目,4,0.02%
2020-11-30,目录,3,0.02%
2020-11-30,收藏,2,0.01%
2020-11-30,系列,1,0.01%
2020-11-30,曲目列表,1,0.01%
2020-12-01,角色,176,0.89%
2020-12-01,关联条目,96,0.49%
2020-12-01,系列续集,89,0.45%
2020-12-01,标签,61,0.31%
2020-12-01,系列前传,56,0.28%
2020-12-01,章节,50,0.25%
2020-12-01,评分分布,39,0.2%
2020-12-01,详情,39,0.2%
2020-12-01,评论,31,0.16%
2020-12-01,制作人员,30,0.15%
2020-12-01,讨论版,21,0.11%
2020-12-01,猜你喜欢,13,0.07%
2020-12-01,单行本,3,0.02%
2020-12-01,吐槽,3,0.02%
2020-12-01,曲目列表,2,0.01%
2020-12-01,用户动态,1,0.01%
2020-12-01,目录,1,0.01%
2020-12-01,系列,1,0.01%
2020-12-01,条目,1,0.01%
2020-12-01,收藏,1,0.01%
2020-12-02,角色,133,0.67%
2020-12-02,章节,97,0.49%
2020-12-02,关联条目,67,0.34%
2020-12-02,系列续集,54,0.27%
2020-12-02,评分分布,45,0.23%
2020-12-02,标签,37,0.19%
2020-12-02,制作人员,33,0.17%
2020-12-02,详情,32,0.16%
2020-12-02,评论,27,0.14%
2020-12-02,系列前传,22,0.11%
2020-12-02,讨论版,19,0.1%
2020-12-02,猜你喜欢,11,0.06%
2020-12-02,单行本,11,0.06%
2020-12-02,吐槽,9,0.05%
2020-12-02,曲目列表,5,0.03%
2020-12-02,条目,4,0.02%
2020-12-02,用户动态,1,0.01%
2020-12-02,目录,1,0.01%
2020-12-02,收藏,1,0.01%
2020-12-03,章节,92,0.47%
2020-12-03,角色,77,0.39%
2020-12-03,标签,59,0.3%
2020-12-03,关联条目,49,0.25%
2020-12-03,评分分布,40,0.2%
2020-12-03,评论,36,0.18%
2020-12-03,制作人员,35,0.18%
2020-12-03,详情,25,0.13%
2020-12-03,系列前传,21,0.11%
2020-12-03,系列续集,19,0.1%
2020-12-03,讨论版,17,0.09%
2020-12-03,单行本,16,0.08%
2020-12-03,曲目列表,10,0.05%
2020-12-03,吐槽,6,0.03%
2020-12-03,猜你喜欢,2,0.01%
2020-12-03,条目,2,0.01%
2020-12-03,收藏,2,0.01%
2020-12-03,用户动态,1,0.01%
2020-12-04,角色,118,0.6%
2020-12-04,关联条目,73,0.37%
2020-12-04,章节,65,0.33%
2020-12-04,标签,61,0.31%
2020-12-04,制作人员,50,0.25%
2020-12-04,详情,35,0.18%
2020-12-04,评论,34,0.17%
2020-12-04,评分分布,30,0.15%
2020-12-04,讨论版,30,0.15%
2020-12-04,系列续集,27,0.14%
2020-12-04,系列前传,23,0.12%
2020-12-04,条目,6,0.03%
2020-12-04,猜你喜欢,5,0.03%
2020-12-04,吐槽,5,0.03%
2020-12-04,用户动态,4,0.02%
2020-12-04,曲目列表,4,0.02%
2020-12-04,收藏,2,0.01%
2020-12-04,目录,1,0.01%
2020-12-04,系列,1,0.01%
2020-12-04,单行本,1,0.01%
2020-12-05,角色,153,0.77%
2020-12-05,章节,98,0.5%
2020-12-05,详情,79,0.4%
2020-12-05,关联条目,51,0.26%
2020-12-05,评分分布,50,0.25%
2020-12-05,评论,50,0.25%
2020-12-05,系列续集,44,0.22%
2020-12-05,制作人员,40,0.2%
2020-12-05,系列前传,37,0.19%
2020-12-05,标签,36,0.18%
2020-12-05,讨论版,36,0.18%
2020-12-05,吐槽,29,0.15%
2020-12-05,条目,9,0.05%
2020-12-05,猜你喜欢,8,0.04%
2020-12-05,单行本,7,0.04%
2020-12-05,曲目列表,5,0.03%
2020-12-05,用户动态,1,0.01%
2020-12-05,目录,1,0.01%
2020-12-05,系列,1,0.01%
2020-12-06,角色,127,0.64%
2020-12-06,章节,111,0.56%
2020-12-06,关联条目,64,0.32%
2020-12-06,评论,64,0.32%
2020-12-06,详情,59,0.3%
2020-12-06,制作人员,47,0.24%
2020-12-06,评分分布,41,0.21%
2020-12-06,系列续集,37,0.19%
2020-12-06,讨论版,36,0.18%
2020-12-06,系列前传,34,0.17%
2020-12-06,标签,32,0.16%
2020-12-06,吐槽,20,0.1%
2020-12-06,单行本,10,0.05%
2020-12-06,条目,8,0.04%
2020-12-06,收藏,3,0.02%
2020-12-06,猜你喜欢,2,0.01%
2020-12-06,目录,2,0.01%
2020-12-06,用户动态,1,0.01%
2020-12-06,曲目列表,1,0.01%
2020-12-07,角色,171,0.87%
2020-12-07,章节,159,0.81%
2020-12-07,关联条目,99,0.5%
2020-12-07,制作人员,65,0.33%
2020-12-07,标签,58,0.29%
2020-12-07,详情,51,0.26%
2020-12-07,系列续集,50,0.25%
2020-12-07,评论,50,0.25%
2020-12-07,评分分布,43,0.22%
2020-12-07,讨论版,38,0.19%
2020-12-07,系列前传,36,0.18%
2020-12-07,猜你喜欢,16,0.08%
2020-12-07,单行本,11,0.06%
2020-12-07,条目,9,0.05%
